area,density,crit. CV,crit. peak,TW,L,s,speed,circuity,cap,mrt,veh,veh-hrs,veh-km
2853.5,0.14473,0.45,64,45,461,7,25,1.4469,10,2.4233,4.844187086,6.789849736,10.00872556
192.15,1.1345,0.11589,26,40,477,6,22,1.0508,7,1.9927,3.218875825,4.910372872,8.001415326
2268,0.18651,0.52005,65,44,422,6,13,1.1462,5,2.6378,5.476463552,7.395476029,9.960425386
6623.6,0.034423,0.16234,27,56,499,6,38,1.0762,11,2.3727,3.828641396,5.832468816,9.470054975
1749.7,0.24747,0.57202,73,31,419,2,21,1.0527,5,2.5344,4.382026635,6.194344165,9.238866602
5714,0.041652,0.14988,27,32,583,6,13,1.0752,5,2.3574,5.062595033,7.285369459,9.850318816
1298.5,0.34193,0.51792,65,35,411,3,40,1.4694,7,2.6465,4.077537444,5.830532593,9.519412047
4871.5,0.051113,0.65635,31,46,597,8,33,1.2193,11,2.7417,3.931825633,6.111267763,9.607775325
914.46,0.49647,0.42095,71,54,433,5,38,1.4141,12,2.6444,3.988984047,5.855444346,9.493030505
4096.2,0.063229,0.16546,28,54,492,3,39,1.1532,13,1.692,3.80666249,5.714392654,9.3779543
597.59,0.77646,0.32457,65,24,569,3,15,1.1996,10,2.1672,4.248495242,6.285197029,8.99324723
3388.1,0.079395,0.45884,42,23,554,4,27,1.1467,10,2.3963,3.988984047,6.047253969,9.343090835
347.86,1.3655,0.44231,74,36,533,3,29,1.0744,9,1.8156,3.63758616,5.415789243,8.783085073
2747.1,0.10193,0.51831,34,30,580,2,37,1.1623,12,1.7794,3.663561646,5.610021095,9.220939007
7426,0.065311,0.59221,87,46,448,3,12,1.2161,7,1.9714,6.148468296,8.514850449,10.9997571
2173.3,0.13344,0.18467,33,51,452,5,35,1.2177,7,1.7345,3.970291914,5.835921231,9.391269293
6460.9,0.076614,0.87421,118,34,412,3,40,1.2821,12,1.9371,4.836281907,6.647039655,10.33591911
1666.6,0.18001,0.62444,42,33,476,4,20,1.2753,5,2.7392,4.189654742,6.167160033,9.162892307
5563,0.019054,0.5914,19,27,538,7,37,1.2292,9,2.5416,3.36729583,5.368822427,8.97974034
1227.1,0.25345,0.72768,51,52,447,2,35,1.1213,10,2.3173,3.526360525,5.290133974,8.845482035
4732.2,0.024513,0.63432,24,59,419,6,11,1.264,8,1.9974,4.744932128,6.989335266,9.387230539
854.68,0.37558,0.32298,31,55,375,8,38,1.067,11,1.9357,3.871201011,5.568840564,9.206426724
3968.6,0.031749,0.28884,20,52,590,4,18,1.3367,8,2.4316,3.912023005,6.048128394,8.938500152
549.45,0.60242,0.5789,47,45,575,7,31,1.0465,10,2.8874,3.465735903,5.41396479,8.847951995
3272.1,0.041564,0.28161,22,19,510,3,12,1.45,6,2.0666,4.736198448,6.92471072,9.409617369
311.37,1.0984,0.63897,59,39,427,2,10,1.0066,11,2.8624,4.007333185,5.815264217,8.11784931
2642.7,0.055624,0.29881,24,50,493,7,40,1.2651,5,1.7329,3.433987204,5.27484401,8.963723464
7253.8,0.048526,0.23721,42,46,454,5,20,1.3358,5,1.5646,5.579729826,7.630946581,10.62667885
2080.6,0.07546,0.32153,23,45,494,5,19,1.2602,9,2.753,3.80666249,5.800061882,8.744500861
6300.3,0.057457,0.3629,44,31,470,3,18,1.1073,6,2.6902,5.308267697,7.326860273,10.21723203
1585.5,0.10533,0.14684,21,56,553,4,21,1.2616,12,2.2725,3.433987204,5.52270015,8.567222587
1157.6,0.15376,0.12969,21,25,557,6,31,1.3437,13,1.5895,3.555348061,5.357953264,8.791940469
4594.9,0.083353,0.39518,49,42,392,2,28,1.2479,7,1.896,4.875197323,6.652875932,9.985080443
796.91,0.23591,0.19685,25,48,409,3,19,1.3138,13,1.9904,3.688879454,5.454123818,8.398562797
3842.9,0.10227,0.52903,54,31,388,4,33,1.2725,6,2.1759,4.615120517,6.357166128,9.85367369
503.33,0.39338,0.11691,23,47,519,6,13,1.3757,5,1.7094,3.891820298,5.822454004,8.387403362
3158.1,0.12793,0.5871,68,28,559,7,26,1.0431,9,2.8082,4.343805422,6.421801114,9.679897652
276.9,0.75478,0.333,29,21,456,6,36,1.2414,5,1.9858,3.33220451,4.833341079,8.416860017
2540.4,0.16297,0.66801,80,25,409,6,31,1.1668,6,2.8092,4.49980967,6.288638925,9.722626129
7083.6,0.030917,0.27461,30,33,537,3,30,1.3113,10,1.5311,4.317488114,6.31884198,9.720039361
1989.9,0.21308,0.66773,80,53,590,6,38,1.1012,8,1.6403,3.970291914,5.965402873,9.602989033
6141.8,0.037286,0.23814,32,26,508,5,18,1.2527,9,2.4131,5.017279837,7.096473003,9.986844761
1506.5,0.28875,0.76869,86,22,482,5,10,1.4032,5,2.451,5.700443573,7.750399471,10.05298456
5267.1,0.045566,0.1516,28,45,400,6,19,1.0546,13,1.9051,5.003946306,6.840739024,9.785178003
1090.2,0.40817,0.48985,70,16,395,2,35,1.4697,6,2.6116,4.189654742,5.874284455,9.429632516
4459.6,0.056058,0.26138,34,41,377,3,27,1.0619,9,1.6429,4.418840608,6.123895334,9.4197322
741.16,0.6139,0.5768,83,30,556,4,17,1.471,10,1.8037,4.465908119,6.475232388,9.308445733
3719.3,0.069906,0.64907,36,50,565,8,14,1.378,6,2.7958,5.043425117,7.247365444,9.886422774
459.23,1.0147,0.76418,112,52,434,7,32,1.1243,11,2.6019,4.094344562,5.734440996,9.200176898
3046.1,0.088966,0.42988,37,57,550,5,10,1.458,12,1.9992,5.472270674,7.800818325,10.10340342
244.46,1.9472,0.25177,63,44,440,7,17,1.4712,12,2.2714,4.276666119,6.129115567,8.962328911
2440.1,0.11516,0.32401,35,39,464,8,35,1.2845,8,1.886,4.110873864,5.955396858,9.510744919
6915.4,0.070278,0.47413,88,38,391,7,14,1.1663,9,2.5369,6.146329258,8.325427176,10.96448451
1901.2,0.15306,0.3609,42,41,495,8,10,1.0245,6,1.752,4.983606622,6.991544805,9.294129898
5985.2,0.083038,0.33338,78,32,479,2,13,1.0624,11,2.5639,5.940171253,8.07890526,10.64385462
1429.4,0.21127,0.65145,47,24,438,7,16,1.27,6,2.3465,4.644390899,6.510154168,9.282742891
5122.2,0.020889,0.6401,23,48,599,6,12,1.0205,10,2.2054,4.189654742,6.412113791,8.89702044
1024.9,0.30443,0.65688,48,56,589,5,16,1.499,9,1.5087,4.343805422,6.434161212,9.206749934
4326.4,0.027043,0.54664,21,25,552,7,33,1.0133,9,2.2761,3.295836866,5.20926755,8.705775111
687.43,0.46841,0.6598,55,21,431,3,37,1.3846,7,1.9447,3.784189634,5.359083155,8.970001068
3597.7,0.035578,0.78484,30,46,482,2,22,1.0702,4,2.4251,3.555348061,5.522979764,8.614022217
417.16,0.79826,0.56352,51,30,576,4,16,1.2953,10,2.8702,3.784189634,5.832937639,8.605526361
