area,density,crit. CV,crit. peak,TW,L,s,speed,circuity,cap,mrt,veh,veh-hrs,veh-km
1585.5,0.10533,0.14684,21,56,553,4,21,1.2616,12,2.2725,31,250.31,5256.51
1157.6,0.15376,0.12969,21,25,557,6,31,1.3437,13,1.5895,35,212.29,6580.99
4594.9,0.083353,0.39518,49,42,392,2,28,1.2479,7,1.896,131,775.01,21700.28
796.91,0.23591,0.19685,25,48,409,3,19,1.3138,13,1.9904,40,233.72,4440.68
3842.9,0.10227,0.52903,54,31,388,4,33,1.2725,6,2.1759,101,576.61,19028.13
503.33,0.39338,0.11691,23,47,519,6,13,1.3757,5,1.7094,49,337.8,4391.4
3158.1,0.12793,0.5871,68,28,559,7,26,1.0431,9,2.8082,77,615.11,15992.86
276.9,0.75478,0.333,29,21,456,6,36,1.2414,5,1.9858,28,125.63,4522.68
2540.4,0.16297,0.66801,80,25,409,6,31,1.1668,6,2.8092,90,538.42,16691.02
7083.6,0.030917,0.27461,30,33,537,3,30,1.3113,10,1.5311,75,554.93,16647.9
1989.9,0.21308,0.66773,80,53,590,6,38,1.1012,8,1.6403,53,389.71,14808.98
6141.8,0.037286,0.23814,32,26,508,5,18,1.2527,9,2.4131,151,1207.7,21738.6
1506.5,0.28875,0.76869,86,22,482,5,10,1.4032,5,2.451,299,2322.5,23225
5267.1,0.045566,0.1516,28,45,400,6,19,1.0546,13,1.9051,149,935.18,17768.42
1090.2,0.40817,0.48985,70,16,395,2,35,1.4697,6,2.6116,66,355.77,12451.95
4459.6,0.056058,0.26138,34,41,377,3,27,1.0619,9,1.6429,83,456.64,12329.28
741.16,0.6139,0.5768,83,30,556,4,17,1.471,10,1.8037,87,648.87,11030.79
3719.3,0.069906,0.64907,36,50,565,8,14,1.378,6,2.7958,155,1404.4,19661.6
459.23,1.0147,0.76418,112,52,434,7,32,1.1243,11,2.6019,60,309.34,9898.88
3046.1,0.088966,0.42988,37,57,550,5,10,1.458,12,1.9992,238,2442.6,24426
244.46,1.9472,0.25177,63,44,440,7,17,1.4712,12,2.2714,72,459.03,7803.51
2440.1,0.11516,0.32401,35,39,464,8,35,1.2845,8,1.886,61,385.83,13504.05
6915.4,0.070278,0.47413,88,38,391,7,14,1.1663,9,2.5369,467,4127.5,57785
1901.2,0.15306,0.3609,42,41,495,8,10,1.0245,6,1.752,146,1087.4,10874
5985.2,0.083038,0.33338,78,32,479,2,13,1.0624,11,2.5639,380,3225.7,41934.1
1429.4,0.21127,0.65145,47,24,438,7,16,1.27,6,2.3465,104,671.93,10750.88
5122.2,0.020889,0.6401,23,48,599,6,12,1.0205,10,2.2054,66,609.18,7310.16
1024.9,0.30443,0.65688,48,56,589,5,16,1.499,9,1.5087,77,622.76,9964.16
4326.4,0.027043,0.54664,21,25,552,7,33,1.0133,9,2.2761,27,182.96,6037.68
687.43,0.46841,0.6598,55,21,431,3,37,1.3846,7,1.9447,44,212.53,7863.61
3597.7,0.035578,0.78484,30,46,482,2,22,1.0702,4,2.4251,35,250.38,5508.36
417.16,0.79826,0.56352,51,30,576,4,16,1.2953,10,2.8702,44,341.36,5461.76
2936.2,0.047,0.21181,18,34,494,3,17,1.3558,7,1.9767,71,505.72,8597.24
214.03,1.6026,0.27039,34,40,474,5,32,1.2761,13,2.107,30,174.53,5584.96
2341.8,0.0632,0.1715,21,45,561,7,24,1.251,12,2.189,35,277.53,6660.72
6749.2,0.052303,0.28612,45,25,550,4,19,1.4407,7,2.0015,240,2095.9,39822.1
1814.5,0.087626,0.28295,23,52,494,6,19,1.1594,10,1.7373,42,300.33,5706.27
5830.7,0.062428,0.41479,49,37,550,3,19,1.0232,10,1.5517,127,1042.7,19811.3
1354.4,0.12477,0.41922,24,35,591,3,18,1.3053,6,2.1173,39,287.7,5178.6
4979.3,0.07511,0.31998,40,58,425,6,37,1.354,11,2.9107,95,636.64,23555.68
961.51,0.18617,0.10689,22,27,559,3,30,1.3559,12,2.5393,26,165.59,4967.7
4195.2,0.091534,0.61194,59,18,428,7,30,1.3556,11,1.8622,138,855.35,25660.5
635.73,0.29887,1.034,30,57,373,4,15,1.2014,12,2.4784,46,258.39,3875.85
3478.1,0.11357,0.6108,74,46,495,6,27,1.1379,11,2.9465,81,613.18,16555.86
377.1,0.53036,0.18744,24,57,508,5,17,1.2914,8,2.0266,31,208.28,3540.76
2828.2,0.1432,0.48,58,40,598,8,16,1.209,9,2.4687,126,1138.7,18219.2
185.63,1.1313,0.31624,28,19,392,4,31,1.2602,11,2.5607,22,99.711,3091.041
2245.5,0.18482,0.6372,72,57,442,8,25,1.4692,6,2.9734,119,817.46,20436.5
6585,0.033409,0.31756,28,54,548,3,30,1.1536,7,2.6197,49,402.57,12077.1
1729.9,0.24626,0.92351,92,52,471,8,24,1.1298,5,2.5424,84,586.96,14087.04
5678.2,0.040682,0.45938,38,20,411,3,33,1.4788,10,1.7082,114,682.41,22519.53
1281.5,0.34024,0.84459,86,30,367,7,18,1.1393,7,2.213,133,732.06,13177.08
4838.5,0.049809,0.23516,31,56,563,8,39,1.3411,7,2.6012,51,416.91,16259.49
900.18,0.49546,0.59861,78,55,591,7,39,1.1747,12,1.6872,50,346.77,13524.03
4065.9,0.061732,0.22509,29,35,538,4,27,1.4268,7,1.8008,73,571.26,15424.02
586.05,0.7798,0.29456,63,23,592,4,22,1.4227,9,1.9725,60,433.86,9544.92
3360.5,0.077963,0.6209,37,36,504,3,39,1.1595,10,1.658,47,299.64,11685.96
339.07,1.3773,0.57585,84,25,427,6,20,1.2972,9,2.3916,72,402.11,8042.2
2722.3,0.099915,0.26382,31,21,511,7,20,1.2401,7,1.9447,92,678.83,13576.6
7385.2,0.064589,0.6927,104,40,492,8,19,1.3878,13,2.5753,377,3308.7,62865.3
2151.2,0.13109,0.51328,34,43,531,7,26,1.3947,9,1.7118,68,492.15,12795.9
6422.9,0.075979,0.67315,87,15,498,6,16,1.4638,7,1.8934,432,3962.9,63406.4
1647.3,0.17787,0.9347,51,42,561,7,39,1.0295,7,1.8919,37,252.1,9831.9
5527.7,0.090092,0.71853,116,55,362,6,23,1.3306,9,1.7109,359,2220.3,51066.9
1210.5,0.25031,0.14463,31,58,581,7,11,1.1288,8,1.5343,88,737.33,8110.63
4699.6,0.02298,0.34861,16,39,523,3,38,1.0323,7,2.2343,20,139.75,5310.5
840.86,0.37224,0.54494,39,16,368,6,40,1.1133,8,2.4753,49,221.84,8873.6
3938.7,0.030213,0.46515,23,36,388,5,40,1.4971,5,2.1344,39,212.67,8506.8
538.38,0.6018,0.54188,47,20,570,3,16,1.3991,11,2.8114,53,390,6240
3245,0.039753,0.56004,25,54,486,8,26,1.3305,7,2.2451,43,292.91,7615.66
303.06,1.1021,0.51628,43,36,445,3,27,1.4178,9,2.0247,35,196.05,5293.35
2618.4,0.053086,0.16383,19,40,515,4,26,1.3957,8,1.7644,38,274.18,7128.68
7213.4,0.047689,0.482,51,35,592,7,38,1.1839,6,1.5974,76,614.57,23353.66
2059,0.072852,0.44186,24,47,371,5,21,1.0603,11,2.5803,45,248.76,5223.96
6262.7,0.056684,0.66792,54,29,400,3,15,1.1256,13,2.5984,319,2403.5,36052.5
1566.7,0.10213,0.31631,27,31,437,5,22,1.2921,10,2.4396,44,273.13,6008.86
5379.2,0.067854,0.55697,57,35,362,4,21,1.2632,6,1.8243,268,1647.8,34603.8
1141.6,0.14892,0.22605,23,55,600,4,20,1.1269,8,2.7015,27,203.26,4065.2
4562.8,0.082186,0.62728,55,44,556,6,26,1.1133,5,2.8118,81,675.38,17559.88
783.57,0.23099,0.26165,28,45,385,2,36,1.1101,8,1.5885,21,108.29,3898.44
3813.6,0.10122,0.55624,52,28,379,5,17,1.2319,9,2.2306,272,1740.1,29581.7
492.74,0.38763,0.21506,25,32,538,5,30,1.0134,8,2.7343,20,121.16,3634.8
3131.5,0.12646,0.39135,58,45,554,6,35,1.1138,12,1.6085,66,474.55,16609.25
269.07,0.74703,0.30861,26,27,382,4,20,1.154,11,2.5422,29,143.51,2870.2
2516.5,0.16133,0.60555,70,29,419,4,36,1.3636,7,2.3145,85,498.25,17937
7043.7,0.030098,0.28275,26,44,481,4,32,1.2299,11,1.9378,64,450.34,14410.88
1968.8,0.21181,0.35828,57,39,453,5,22,1.1785,8,1.6013,101,676.22,14876.84
6104.6,0.036366,0.15007,28,21,417,5,15,1.2873,8,2.6313,210,1728.7,25930.5
1488.1,0.28694,0.60013,76,41,515,6,34,1.2149,6,2.8504,59,397.78,13524.52
5232.8,0.044336,0.80966,35,18,563,2,15,1.393,9,2.658,177,1618.5,24277.5
1074.6,0.40665,0.34767,61,35,386,5,25,1.3809,5,2.9683,85,502.53,12563.25
4428,0.054878,0.76404,35,32,576,3,17,1.3231,8,2.3909,109,954.2,16221.4
728.3,0.61513,0.3219,71,34,562,7,15,1.3967,9,1.7373,105,788.96,11834.4
3690.4,0.068556,0.29017,31,17,446,6,15,1.043,5,1.6254,158,1055.3,15829.5
449.12,1.0198,0.46833,75,15,451,3,29,1.3625,12,2.6752,51,297.57,8629.53
3020,0.087086,0.23408,30,15,430,2,10,1.1751,10,2.7467,234,1877.5,18775
237.1,1.9739,0.45954,67,36,511,3,40,1.3198,8,1.6429,31,182.41,7296.4
2416.7,0.11338,0.19521,33,56,385,8,25,1.4732,12,1.5025,118,685.55,17138.75
6876,0.069663,0.38972,73,20,496,3,29,1.1835,11,2.7438,139,1043.9,30273.1
1880.6,0.15102,0.30198,32,59,386,3,32,1.1334,6,2.9803,46,267.83,8570.56
5948.6,0.082205,0.60448,88,48,577,5,11,1.1704,10,2.3733,402,4400.1,48401.1
1411.6,0.20828,0.67113,44,43,506,5,30,1.1777,7,2.2401,42,282.96,8488.8
5088.3,0.098068,0.63905,95,26,487,7,33,1.3578,7,1.7127,148,1046,34518
1009.7,0.30107,0.3641,38,35,461,3,12,1.2041,7,2.8199,87,609.44,7313.28
4295.2,0.02561,0.67956,22,26,540,4,38,1.1693,9,2.4931,24,167.93,6381.34
675.05,0.46663,0.61016,47,18,585,3,27,1.3218,12,2.5247,36,253.75,6851.25
3569.3,0.03362,0.54483,24,59,509,7,18,1.3185,9,2.9268,58,458.23,8248.14
407.52,0.7975,0.47341,36,41,431,3,16,1.0715,12,2.1121,46,266.07,4257.12
2910.5,0.044666,0.4375,23,40,527,3,17,1.2114,5,2.1341,48,365.21,6208.57
207.15,1.6172,0.14735,34,31,524,7,15,1.285,11,1.5721,52,342.37,5135.55
2318.9,0.060806,0.13382,19,58,544,4,33,1.3727,10,2.8142,23,175.91,5805.03
6710.3,0.051563,0.54848,45,35,377,7,20,1.0277,9,2.7695,247,1531.4,30628
1794.4,0.084152,0.097808,19,54,584,4,20,1.0244,12,2.0518,28,222.64,4452.8
5794.5,0.061437,0.24223,38,39,456,2,35,1.4203,9,2.2351,98,676.92,23692.2
1337,0.12042,0.2117,22,22,584,2,25,1.4645,4,2.3372,30,227.64,5691
4945.9,0.074,0.3878,48,48,363,6,37,1.2925,13,2.4614,112,626.3,23173.1
946.86,0.18165,0.29102,28,23,483,5,26,1.1466,8,1.8061,32,189.68,4931.68
4164.5,0.090527,0.29305,44,48,574,5,12,1.4313,12,2.6529,294,3003.4,36040.8
623.83,0.29175,0.42319,31,29,571,5,38,1.2487,8,2.6945,22,123.29,4685.02
3450.2,0.11217,0.69311,74,21,565,5,12,1.2199,9,1.6095,250,2183.4,26200.8
367.95,0.52182,0.16202,24,55,444,2,28,1.3303,11,2.9523,18,108.52,3038.56
2803.1,0.14163,0.52075,59,52,506,4,36,1.2851,6,2.8784,58,431.34,15528.24
179.22,1.1327,0.11745,25,49,391,5,11,1.2694,8,2.2904,39,221.32,2434.52
2223.1,0.18353,0.53134,66,35,387,8,22,1.1196,8,1.8989,132,763.03,16786.66
